formula,bulk_modulus_voigt,bulk_modulus_reuss,bulk_modulus_vrh
Si,68.415,67.285,67.85
Si,58.34,39.828,49.084
Ta,195.607,195.503,195.555
O2,2.361,3.385,2.873
O2,1.917,1.559,1.738
Bi,43.788,43.452,43.62
F2,2.149,41.031,21.59
Te,43.981,41.331,42.656
O2,1.56,2.397,1.978
S,14.728,7.246,10.987
Ta,-16938340.22,294.829,-8469022.694
N2,0.831,0.816,0.823
C,402.314,400.654,401.484
Cu,137.934,137.731,137.832
C,162.128,136.002,149.065
Ga,49.645,49.645,49.645
Ca,16.882,16.88,16.881
Sn,47.219,46.168,46.694
Pa,96.152,96.151,96.151
H2,0.37,0.254,0.312
Si,81.551,81.123,81.337
Se,1.331,0.849,1.09
S,1.116,0.635,0.876
Ca,13.203,11.188,12.196
Sc,45.715,45.34,45.528
Cs,1.723,1.712,1.717
Ge,69.338,69.3,69.319
Sn,47.262,47.259,47.261
Si,108.333,106.894,107.613
Ge,56.024,55.597,55.811
Se,5.331,2.973,4.152
Si,79.906,79.274,79.59
S,2.235,1.512,1.874
F2,3.396,-8.426,-2.515
Se,9.267,-1.022,4.123
Te,22.623,16.088,19.355
S,11.284,1.471,6.378
Te,22.243,16.154,19.198
O2,3.451,3.874,3.662
Ni,31.111,-1.033,15.039
Tm,44.048,43.894,43.971
Li,13.813,13.796,13.804
Sb,36.704,28.187,32.445
Dy,41.073,41.004,41.039
Ho,42.29,42.22,42.255
As,47.915,14.861,31.388
Tb,40.153,40.104,40.128
Hg,11.76,11.154,11.457
P,61.079,37.591,49.335
B,212.455,207.99,210.223
B,198.606,467.803,333.205
C,227.227,4.166,115.697
Bi,30.589,24.945,27.767
C,223.074,3.566,113.32
Hg,7.626,7.617,7.622
Ga,47.288,46.933,47.111
C,185.056,5.47,95.263
C,435.383,435.246,435.315
O2,3.226,19.362,11.294
Sm,36.422,36.392,36.407
Rb,2.76,2.758,2.759
Yb,14.706,14.675,14.69
Lu,44.891,44.811,44.851
Re,365.41,365.097,365.253
N2,0.97,1.659,1.314
Li,13.655,13.645,13.65
Hg,7.876,7.807,7.842
Sr,9.012,8.865,8.938
Si,106.609,106.389,106.499
C,221.09,4.579,112.835
Ba,7.808,7.808,7.808
Ti,112.955,112.807,112.881
H2,26.92,1.348,14.134
Ge,59.556,59.501,59.529
Au,135.103,105.047,120.075
Ge,63.209,62.746,62.978
Na,7.796,7.758,7.777
Li,14.481,14.208,14.344
Ni,197.399,197.29,197.345
Hf,108.327,108.248,108.287
Pr,32.616,32.593,32.605
Ag,90.122,90.122,90.122
Si,87.315,87.262,87.289
Y,41.723,41.712,41.717
